platform,review_text,rating,review_date,source_url
google_reviews,"Times Square in New York City is one of the most vibrant and energetic places in the world. The moment you arrive, the massive digital billboards, bright lights, and constant buzz of people create an atmosphere that feels uniquely New York. …",5,a month ago,"https://www.google.com/maps/place/Times+Square/@40.7579747,-73.9855426,17z/data=!4m7!3m6!1s0x89c25855c6480299:0x55194ec5a1ae072e!8m2!3d40.7579747!4d-73.9855426!9m1!1b1?hl=en"
google_reviews,"Last year in May, I visited New York City for the first time, and Times Square in Manhattan was absolutely one of the most iconic places I could not miss—and one I will never forget. …",5,2 months ago,"https://www.google.com/maps/place/Times+Square/@40.7579747,-73.9855426,17z/data=!4m7!3m6!1s0x89c25855c6480299:0x55194ec5a1ae072e!8m2!3d40.7579747!4d-73.9855426!9m1!1b1?hl=en"
google_reviews,"NYC’s Times Square in winter is simply magical!
• I was able to pass by Times Square almost every day during my stay in Manhattan. It was walkable from my hotel. …",5,2 months ago,"https://www.google.com/maps/place/Times+Square/@40.7579747,-73.9855426,17z/data=!4m7!3m6!1s0x89c25855c6480299:0x55194ec5a1ae072e!8m2!3d40.7579747!4d-73.9855426!9m1!1b1?hl=en"
google_reviews,"The fabulously famous Times Square!!

Hotel was literally a 5 minute walk… I had never been here and always wanted to …",5,a month ago,"https://www.google.com/maps/place/Times+Square/@40.7579747,-73.9855426,17z/data=!4m7!3m6!1s0x89c25855c6480299:0x55194ec5a1ae072e!8m2!3d40.7579747!4d-73.9855426!9m1!1b1?hl=en"
google_reviews,"This had to be on the tick list as I have been meaning to just walk down here and take some photos, but even though it has been over a foot of snow the night before and it was freezing, it was sort of better in a way as it wasn't as busy! …",5,2 months ago,"https://www.google.com/maps/place/Times+Square/@40.7579747,-73.9855426,17z/data=!4m7!3m6!1s0x89c25855c6480299:0x55194ec5a1ae072e!8m2!3d40.7579747!4d-73.9855426!9m1!1b1?hl=en"
google_reviews,"What's not to love about one of the most iconic spots in America.  The world is a better place because of Times Square and there is a lot to see and do here like seeing the red steps, watch a live performance on the streets, watch a …",5,2 months ago,"https://www.google.com/maps/place/Times+Square/@40.7579747,-73.9855426,17z/data=!4m7!3m6!1s0x89c25855c6480299:0x55194ec5a1ae072e!8m2!3d40.7579747!4d-73.9855426!9m1!1b1?hl=en"
google_reviews,"The beating heart of the city that never sleeps!
Times Square is an absolute sensory overload in the best way possible. It’s where NYC’s rich history meets modern-day spectacle. Whether you’re there at 10 AM …",5,a month ago,"https://www.google.com/maps/place/Times+Square/@40.7579747,-73.9855426,17z/data=!4m7!3m6!1s0x89c25855c6480299:0x55194ec5a1ae072e!8m2!3d40.7579747!4d-73.9855426!9m1!1b1?hl=en"
google_reviews,"My favorite place in the world is New York in the United States, because it's a beautiful city. There are interesting places to visit. You can walk in Central Park and visit Times Square and take pictures at Summit One Vanderbilt. The best time to visit is in December because Christmas is beautiful. You can enjoy the snow.",5,3 months ago,"https://www.google.com/maps/place/Times+Square/@40.7579747,-73.9855426,17z/data=!4m7!3m6!1s0x89c25855c6480299:0x55194ec5a1ae072e!8m2!3d40.7579747!4d-73.9855426!9m1!1b1?hl=en"
google_reviews,"Stopped by Joe’s Pizza while in NYC. It’s solid for one thing: cheap, classic New York slices. If you want a quick, no-frills cheese slice that won’t destroy your wallet, this is your spot. It’s fast, straightforward, and exactly what you’d expect from a busy counter service pizza place. Nothing fancy, no crazy toppings just a simple slice you can fold and eat on the go. That said, I wouldn’t call it life changing. It’s good for what it is: affordable pizza in a prime location. If you’re expecting some mind blowing culinary experience, this isn’t that. But if you just want a cheap slice that gets the job done, Joe’s works.",4,2 months ago,"https://www.google.com/maps/place/Joe's+Pizza/@40.7306597,-74.0021707,17z/data=!4m7!3m6!1s0x89c259924a960df1:0x43b20488619b3f43!8m2!3d40.7306597!4d-74.0021707!9m1!1b1?hl=en"
google_reviews,"Cash only, $5.50 for pepperoni slice and $4.50 for regular. Customer service is apathetic, no greetings. I did take out and they barely had the pizza in the oven for a minute before handing it to me. No napkins. The pizza is ok, not a bad pizza, nice cheese to sauce ratio. Sauce is slightly sweet and tangy. Good crust, it was a good pizza, just not $5.50/$4.50 worth in my opinion.",3,3 months ago,"https://www.google.com/maps/place/Joe's+Pizza/@40.7306597,-74.0021707,17z/data=!4m7!3m6!1s0x89c259924a960df1:0x43b20488619b3f43!8m2!3d40.7306597!4d-74.0021707!9m1!1b1?hl=en"
google_reviews,"We wanted to try NYC style pizza and the reviews for Joe’s pizza were as outstanding. We reached the place and there we see a huge line to get the pizza by slice or whole pie.
We told ourselves that this is it. It shall be worth the wait.
It took about 30-40 minutes to get to order and get the pie.
It was okay not the best that we had. I didn’t understand how come it’s rated this high on Google.
Nothing bad about the pizza but nothing best either.
Just wanted to let people know if you are spending the 30-40 minutes in December cold to have this pie may be think about it. You shall get it when there is no line.
So the disappointment is less.",3,Edited 3 months ago,"https://www.google.com/maps/place/Joe's+Pizza/@40.7306597,-74.0021707,17z/data=!4m7!3m6!1s0x89c259924a960df1:0x43b20488619b3f43!8m2!3d40.7306597!4d-74.0021707!9m1!1b1?hl=en"
google_reviews,"Food: 4 Stars
Service: 4 Stars
Ambience: 4 Stars
Value: 5 Stars
Sanitary: 4 Stars
Overall: 4.2 Stars

Note: CASH ONLY

Joe’s Pizza in NYC has been on my food bucket list for ages, and I finally made the stop. I still remember watching Worth It on BuzzFeed years ago when they crowned Joe’s as the “most worth it” pizza, so there was definitely some nostalgia walking through those doors.

I ordered the classic cheese slice — simple, timeless, and honestly the best way to judge a good pizzeria. It didn’t disappoint. The cheese was fresh and melty without being greasy, the sauce had that perfect tang, and the crust… chef’s kiss. It had just the right thickness with a crispy crunch that somehow still stayed soft inside. Exactly what you want from a New York slice.

In today’s economy, finding something tasty, reliable, and filling feels like a small win, and Joe’s definitely delivers on that comfort factor. It’s nothing overly fancy, but that’s the charm. It’s just solid, satisfying pizza that hits the spot.

Would I come back? Absolutely. It may not be life-changing, but it’s definitely a staple worth trying — especially if you grew up watching the same food videos that made Joe’s a must-visit in the first place.

xx kellychan360",4,5 months ago,"https://www.google.com/maps/place/Joe's+Pizza/@40.7306597,-74.0021707,17z/data=!4m7!3m6!1s0x89c259924a960df1:0x43b20488619b3f43!8m2!3d40.7306597!4d-74.0021707!9m1!1b1?hl=en"
google_reviews,"The pizza at Joe’s Pizza was very good, and the slices are huge! It was exactly what we were looking for.

We didn’t realize it was cash-only, but thankfully there’s an ATM right outside the shop, which made it easy. There wasn’t a line when we stopped in on February 16th, so it was a quick and convenient visit.

We chose this spot over John’s because we wanted to grab individual slices rather than order a whole pie. It was the perfect choice for a fast, no-fuss stop. There isn’t much seating, but we weren’t expecting there to be.

We would definitely go again!",5,2 months ago,"https://www.google.com/maps/place/Joe's+Pizza/@40.7306597,-74.0021707,17z/data=!4m7!3m6!1s0x89c259924a960df1:0x43b20488619b3f43!8m2!3d40.7306597!4d-74.0021707!9m1!1b1?hl=en"
google_reviews,"’ve been hunting for a REAL New York slice for weeks — not the overpriced tourist versions or the soggy cafeteria ones that taste like cardboard. Almost gave up…
until a local recommended Joe’s Pizza in Greenwich Village.

The moment I walked in, I knew something was different — the smell of real cheese, the thin crispy crust coming straight out of the oven, and slices cut confidently, not shyly.

I ordered a plain cheese slice — because if a place can’t nail the basics, nothing else matters.

First bite… and honestly?
THIS is the slice I’ve been looking for.
Crispy edge, airy crust, light tomato tang, and cheese that actually stretches — authentic, simple, perfect.

The staff worked fast even with a line out the door — and everyone inside looked like someone who knows pizza. No Instagram tourists — just locals and real NYC regulars.

⭐⭐⭐⭐⭐ 5/5 — Worth every minute of the wait.
If you want to taste actual New York… not the fake version… start with a plain slice at Joe’s.
I stopped by Joe’s Pizza on one of those evenings when New York feels overwhelming — when the noise, the speed, and the rush make you forget to slow down.
And somehow… holding that simple slice in my hand brought me back to myself.

Crispy edge, warm cheese, thin New York crust — nothing fancy, just honest flavor.
It reminded me that sometimes the simplest things are the most comforting.

⭐⭐⭐⭐⭐
A perfect NY slice — authentic, warm, and unforgettable.
Photo by ElAttar Reviews",5,Edited 4 months ago,"https://www.google.com/maps/place/Joe's+Pizza/@40.7306597,-74.0021707,17z/data=!4m7!3m6!1s0x89c259924a960df1:0x43b20488619b3f43!8m2!3d40.7306597!4d-74.0021707!9m1!1b1?hl=en"
